Sample,ID,Total_dried,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
E1A_23-02-04,F39,109.8,146,30.4589,5.5867,35.6355,,0.926593517,,0.5371,0.4523,0.9841,0.9081,0.820252045,0.7446,0.458766306,0.5815,0.098164935,0.1021,2 A4,6.1279,50.2,88.52339567,49.51106362,10.59417458,6.613363777,54.17693853
E14_23-02-02,F4,43.7,131,28.9615,5.2942,33.859,,0.925068943,,0.5646,0.4862,1.044,0.9475,0.787535993,0.7827,0.448580831,0.6014,0.075689017,0.0906,B7,8.1167,51.3,85.13268109,48.49161072,8.181986587,8.774156843,55.45532619
E15_23-02-05,F40,45.6,,,,,,#DIV/0!,,,,,,,,,,,0.1198,2 A5,10.054,48.8,,,,,
E16_23-02-01,F41,47.9,136,29.0132,7.4543,35.8767,,0.920743732,,0.5603,0.7925,1.3416,1.1432,0.735520505,0.8937,0.420694006,0.623,0.079116719,0.123,2 A6,8.7322,49.7,79.88330296,45.69067285,8.592697024,9.483854952,53.97810301
E4D_23-02-17,F42,47.8,166,28.8499,4.7635,33.2854,,0.931143067,,0.567,0.5648,1.1277,0.9853,0.740616147,0.8166,0.441926346,0.6172,0.08888102,0.0949,2 A7,11.118,53.6,79.5383839,47.46062783,9.545366654,11.940163,57.56365686
E1A_23-01-24,F43,30.3,152,30.33,4.466,34.542,,0.94312584,,0.5681,0.5157,1.0864,0.9405,0.722125267,0.8081,0.465386853,0.6271,0.114407601,0.0963,2 A8,7.3062,51,76.56722319,49.34514921,12.13068251,7.746792308,54.07549858
E1A_23-02-10,F44,64.1,155,29.7496,5.6115,34.9043,,0.918595741,,0.5682,0.597,1.1553,1.0309,0.775041876,0.8431,0.460469012,0.6115,0.072529313,0.1079,2 A9,5.6629,49.2,84.37246566,50.12749257,7.89567271,6.164735746,53.56001319
E4D_23-02-08,F45,112.4,158,29.2862,5.5159,34.3395,,0.91613336,,0.5491,0.5177,1.0546,0.9463,0.767239714,0.7793,0.444659069,,-1.060652888,0.1135,2 A10,7.0533,49.6,83.74760135,48.53650008,,7.698988279,54.14058932
E14_23-02-07,F46,52.6,17,21.2518,4.4203,25.3025,,0.916385766,,0.5672,0.4791,1.0356,0.9401,0.778334377,0.7884,0.461699019,0.6051,0.079106658,0.1112,2 B1,6.3228,50.6,84.93523209,50.38260483,8.632462581,6.899714331,55.21692053
E3C_23-02-03,F47,60,144,30.8375,4.7577,35.2501,,0.927464952,,0.5576,0.5357,1.0864,0.9776,0.784020907,0.8052,0.462198992,0.6009,0.080828822,0.1034,2 B2,4.9031,51.8,84.5337504,49.83465857,8.715027125,5.286560955,55.85116711
E13_23-02-04,F48,118.4,135,31.3916,4.8117,35.8591,,0.928466031,,0.5581,0.561,1.1114,1.0068,0.799821747,0.8176,0.462566845,0.6018,0.077896613,0.0981,2 B3,9.4679,52.9,86.14442752,49.82054589,8.389818325,10.19735745,56.97569782
E3C_23-02-17,F49,45.1,123,28.5262,5.6853,33.8155,,0.930346684,,0.5381,0.6457,1.179,1.0108,0.732073718,0.8227,0.440761964,0.6015,0.098188013,0.0933,B8,8.6775,51.8,78.68827088,47.37609878,10.55391659,9.327168198,55.67816913
E1A_23-02-15,F5,39.5,133,28.3491,6.5388,34.4661,,0.935492751,,0.5426,0.6632,1.204,1.0458,0.758745476,0.8358,0.442098914,0.5929,0.075844391,0.0994,2 B4,4.7936,54.7,81.10650518,47.25840087,8.107426889,5.124144463,58.47185875
E14_23-02-14,F50,54.5,121,28.9345,4.7827,33.4425,,0.942563824,,0.5497,0.5744,1.1229,1.0354,0.845577994,0.8294,0.486942897,0.6135,0.111072423,0.1076,2 B5,6.5118,50.3,89.71042311,51.66153046,11.78407452,6.908603784,53.36508651
E15_23-02-03,F51,107.3,122,29.171,4.788,33.5619,,0.917063492,,0.5323,0.6963,1.2125,1.0788,0.784862846,0.8507,0.457274163,0.5877,0.079563407,0.1083,2 B6,7.8722,49.1,85.58435193,49.86286854,8.675888558,8.584138468,53.54045868
E14_23-02-06,F52,50.1,125,28.7084,4.9174,33.2566,,0.924919673,,0.5415,0.572,1.1062,0.9753,0.758391608,0.7934,0.440384615,0.5915,0.087412587,0.1007,2 B7,7.4837,52.6,81.99540247,47.61328235,9.45083016,8.091189125,56.86980344
E3C_23-02-02,F53,59.6,101,28.9457,4.1937,32.8552,,0.932231681,,0.5736,0.5438,1.1136,1.0141,0.810040456,0.8401,0.490069879,0.6304,0.104450166,0.1026,2 B8,10.634,52.3,86.89261186,52.56953703,11.20431408,11.40703563,56.10193375
E16_23-01-31,F54,40.3,120,30.8237,5.5479,36.133,,0.956992736,,0.5471,0.6427,1.2003,1.0129,0.72475494,0.8288,0.438307142,0.6159,0.10704839,0.1068,2 B9,7.747,50.8,75.7325435,45.80046695,11.18591454,8.095150265,53.08295255
E4D_23-02-14,F55,55.4,115,28.7814,5.4166,33.8432,,0.934497655,,0.571,0.5413,1.1103,0.9861,0.766857565,0.816,0.452614077,0.6235,0.096988731,0.0999,2 B10,8.6367,52.6,82.06094052,48.43394466,10.37870243,9.242077763,56.2869256
E13_23-02-09,F56,33.6,119,28.8606,4.6685,33.3121,,0.953518261,,0.5485,0.5058,1.05,0.9378,0.769671807,0.7734,0.444642151,0.5847,0.07156979,0.0982,2 C1,5.4147,52.8,80.71914706,46.63173946,7.505864689,5.678653701,55.37387398
E13_23-02-07,F58,41.3,99,29.6815,4.4545,33.7753,,0.919025704,,0.57,0.5487,1.1091,0.9769,0.741570986,0.8143,0.44523419,0.6247,0.099690177,0.1116,2 C2,10.11,51.1,80.69099509,48.44632613,10.84737634,11.00078045,55.60236211
E15_23-02-13,F59,65.6,117,28.6688,4.7232,33.0847,,0.934938178,,0.5769,0.5961,1.1717,1.0124,0.730582117,0.8454,0.450427781,0.638,0.102499581,0.1077,2 C3,9.5793,52,78.14229162,48.17727968,10.96324688,10.24591811,55.61865078
E2B_23-02-13,F6,76.3,137,28.8558,6.1094,34.56,,0.933675975,,0.6034,0.5399,1.1402,1.0431,0.814410076,0.6518,0.089646231,0.6094,0.011113169,0.0972,B9,6.7945,51.7,87.22620031,9.601428462,1.190259727,7.277149872,55.37252901
E2B_23-02-03,F60,53.1,107,28.6482,6.3178,34.71,,0.959479566,,0.5643,0.6102,1.1846,1.0143,0.737463127,0.8208,0.420353982,0.6069,0.069813176,0.1253,2 C4,9.2784,52.5,76.86074339,43.81062373,7.276150374,9.670242423,54.71716322
E14_23-01-28,F61,38.6,110,28.8307,5.6259,34.159,,0.947101797,,0.56,0.5324,1.095,0.9866,0.801277235,0.8022,0.454921112,0.6023,0.07945154,0.1088,2 C5,8.7456,51.6,84.6030741,48.03296893,8.388912411,9.234065469,54.48199989
E3C_23-02-09,F62,39.5,97,31.7397,4.5934,36.1172,,0.952997779,,0.5448,0.6568,1.21,1.0728,0.803897686,0.845,0.457064555,0.5957,0.077496955,0.1011,2 C6,7.8303,52.9,84.35462318,47.96071568,8.131913485,8.216493437,55.50904854
E14_23-01-27,F63,47.9,18,22.4667,4.9126,27.0937,,0.941863779,,0.55,0.5967,1.1484,1.0132,0.776269482,0.808,0.432378079,0.5949,0.075247193,0.1081,2 C7,8.8803,51.2,82.41844517,45.90664692,7.989180026,9.428433495,54.36030257
E13_23-02-17,F64,38.3,124,28.8136,5.13,33.5643,,0.926062378,,0.5414,0.484,1.0211,0.9223,0.786983471,0.7783,0.48946281,0.5858,0.091735537,0.0978,2 C8,7.9048,53.1,84.98169126,52.85419443,9.905978188,8.535926074,57.33954996
E16_23-01-27,F65,119,1,24.1634,4.3213,28.1718,,0.927591234,,0.5511,0.5375,1.0814,0.9803,0.798511628,0.8012,0.465302326,0.5878,0.06827907,0.1527,A2,4.073,49.3,86.08443014,50.16243238,7.360900713,4.390942745,53.14841084
E14_23-02-03,F66,49.1,116,28.4981,5.8723,33.9242,,0.924016144,,0.5728,0.7199,1.2803,1.1323,0.777191277,0.9018,0.457007918,0.6327,0.083206001,0.0969,2 C9,7.2997,52,84.11014049,49.45886724,9.004821118,7.899970201,56.27607305
E13_23-02-14,F67,37.1,96,28.9267,4.6451,33.259,,0.932660223,,0.5495,0.5079,1.0545,0.9531,0.794644615,,-1.081905887,0.5904,0.080527663,0.0987,2 C10,7.0327,53.2,85.20194127,,8.634190778,7.540473829,57.0411375
E1A_23-02-05,F68,113.5,102,29.9207,4.7862,34.326,,0.920417032,,0.5494,0.5774,1.1156,0.9996,0.779702113,0.8149,0.459819882,0.5911,0.072220298,0.1125,2 D1,5.0964,50.7,84.71183013,49.95777632,7.846475603,5.537055292,55.08372642
E4D_23-02-03,F69,45.5,143,29.1911,5.228,33.9927,,0.918439174,,0.5392,0.6787,1.2056,1.0512,0.75438338,0.8372,0.439074702,0.5937,0.080300575,0.105,A4,8.5508,50.2,82.13754396,47.80661738,8.743156534,9.310142952,54.65794735
E2B_23-02-08,F7,58.9,150,32.025,5.7628,37.3628,,0.926251128,,0.5853,0.4887,1.0685,0.9705,0.788213628,0.7982,0.43564559,0.622,0.075097197,0.0949,B10,8.201,51.1,85.09718415,47.03320484,8.107649684,8.853970325,55.16862378
E16_23-02-05,F70,44.3,8,21.5623,4.0529,25.2922,,0.92030398,,0.5677,0.7957,1.3509,1.1607,0.74525575,0.9263,0.450672364,0.6367,0.086716099,0.1076,A1,8.777,50.2,80.97930314,48.96994622,9.422549606,9.537066222,54.54719429
E1A_23-02-14,F71,45,109,28.5407,6.2748,34.4114,,0.935599541,,0.5617,0.4695,1.0312,0.9208,0.76485623,,-1.196379127,0.5947,0.07028754,0.1439,2 D2,9.0346,51.2,81.75038534,,7.51256674,9.656481864,54.72426797
E2B_23-02-12,F72,67.1,104,28.81,4.4159,33.049,,0.959940216,,0.5723,0.4389,1.019,0.9202,0.792663477,0.7811,0.475734792,0.6123,0.091136933,0.1026,2 D3,7.8323,54,82.57425448,49.55879372,9.494021786,8.159153944,56.25350318
E16_23-02-10,F73,50.8,149,29.0201,4.8662,33.6275,,0.946816818,,,0.5185,1.0835,0.9612,1.853809065,0.8049,1.552362584,0.6077,1.172034716,0.0928,A5,8.1527,52.5,195.7938462,163.955958,123.7868501,8.610641303,55.44895169
E14_23-01-26,F74,36.9,164,30.4529,5.4505,35.6741,,0.957930465,,0.5538,0.5986,1.1588,1.0185,0.776311393,0.8356,0.470765119,0.6265,0.12145005,0.0999,B5,9.4561,53.5,81.04047439,49.14397608,12.6783785,9.871384557,55.84956523
E13_23-02-03,F75,107.5,105,31.6485,4.1414,35.4682,,0.922320954,,0.5556,0.5859,1.1307,1.0253,0.80167264,0.826,0.461512203,0.5948,0.066905615,0.1074,2 D4,5.3976,50.2,86.91905314,50.03813492,7.254049145,5.852192748,54.42790795
E1A_23-02-03,F76,88.4,142,29.3093,5.3675,34.2921,,0.928327899,,0.5442,0.4828,1.0221,0.9169,0.771955261,0.7711,0.46996686,0.5902,0.095277548,0.0929,A8,7.2144,51.4,83.15545202,50.62509274,10.26335067,7.771391988,55.36836718
E3C_23-02-14,F77,103.5,168,29.596,5.1562,34.4644,,0.944183701,,0.5229,0.6419,1.1677,1.0288,0.788128992,?,#VALUE!,0.5634,0.06309394,0.0997,B1,4.6247,51.4,83.47199714,,6.682379688,4.898093448,54.43855887
E16_23-01-28,F78,120.8,113,28.7282,5.0675,33.5637,,0.954218056,,0.5474,0.5197,1.0716,0.9708,0.814700789,0.7943,0.475081778,0.5888,0.079661343,0.1119,2 D5,4.6372,51.7,85.37889045,49.78754854,8.348337423,4.859685865,54.18048806
E14_23-02-01,F79,42.7,95,30.4173,4.8443,34.9126,,0.927956568,,0.5787,0.6059,1.1797,1.0627,0.798811685,0.8565,0.4584915,0.6274,0.0803763,0.1047,2 D6,7.4919,51.3,86.08287425,49.4087241,8.661644578,8.073545964,55.28275977
E4D_23-02-12,F80,54.4,98,32.4872,4.6443,36.8842,,0.946751932,,0.5648,0.6938,1.2623,1.0871,0.752810608,0.8783,0.451859325,0.6343,0.100172961,0.0889,D2,5.5825,52.5,79.51508546,47.72732011,10.58069776,5.89647595,55.45275188
E3C_23-02-04,F81,65.4,100,29.3929,4.8584,33.8878,,0.92518113,,0.5402,0.5987,1.131,0.9857,0.744112243,0.7944,0.424586604,0.5812,0.06848171,0.1105,2 D7,9.6206,52.3,80.4288176,45.89226809,7.401978724,10.39861244,56.52947118
E3C_23-02-08,F82,41.3,112,28.9611,4.363,32.9566,,0.915768966,,0.5214,0.6633,1.1717,1.0054,0.729684909,0.801,0.42152872,0.5686,0.071159355,0.0999,2 D8,7.4737,52.2,79.68002145,46.03002892,7.770448373,8.161119534,57.00127644
E1A_23-02-08,F83,63.4,163,29.3196,5.2624,33.2263,,0.742379903,,0.5428,0.5669,1.1126,0.9699,0.753395661,,,0.5803,0.066149233,0.1017,2 D9,9.7229,50.6,101.4838438,,8.910428802,13.09693321,68.1591727
E13_23-02-12,F84,36.6,162,29.3949,4.5018,33.6726,,0.950219912,,0.5826,0.5844,1.1735,1.0076,0.727241615,0.8395,0.439596167,0.6434,0.10403833,0.1107,B3,7.6614,49.8,76.5340324,46.26257158,10.94886863,8.062765159,52.40892068
E16_23-01-26,F85,84.5,114,29.0392,5.3642,34.1591,,0.954457328,,0.5525,0.6842,1.242,1.112,0.81774335,0.8817,0.481145864,0.6163,0.093247588,0.1073,B4,12.507,52.2,85.67626082,50.41041119,9.769696944,13.10378121,54.69076349
E16_23-02-06,F86,41.6,127,28.8181,5.0131,33.4619,,0.926333008,,0.5566,0.5366,1.0881,0.9726,0.775251584,,,0.6018,0.084234066,0.101,2 D10,5.7304,52.5,83.69037676,,9.093281321,6.186112287,56.67508291
E4D_23-02-07,F87,80.5,103,29.3546,4.4492,33.4439,,0.919109053,,0.5257,0.6303,1.1428,0.9919,0.739647787,0.8076,0.447247343,0.5755,0.079009995,0.0986,A6,9.1522,51.2,80.47443164,48.66096585,8.596367858,9.957686704,55.70612085
E15_23-01-30,F88,64.4,106,28.7544,5.035,33.6088,,0.964131082,,0.5518,0.4754,1.0372,0.9276,0.790492217,0.7708,0.460664703,0.5864,0.072780816,0.0953,2 E1,6.9445,52.3,81.99011851,47.78029791,7.54885072,7.202858747,54.24573583
E2B_23-02-07,F89,58,132,29.3568,6.6865,35.5291,,0.923098781,,0.5569,0.6511,1.1994,1.0521,0.760559054,0.8464,0.444632161,0.6152,0.089540777,0.0931,2 E2,7.8061,54,82.3919465,48.16734352,9.700021165,8.456408089,58.49861478
E15_23-02-09,F9,65.5,16,21.0551,4.3353,25.079,,0.928171061,,0.5417,0.6367,1.1736,1.0252,0.759384325,0.8142,0.427988063,0.5869,0.070991048,0.1091,A9,8.7339,50.1,81.81512627,46.11090364,7.648487503,9.409795639,53.97711921
E2B_23-02-02,F90,49.1,111,28.8571,4.1489,32.7058,,0.927643472,,0.5308,0.5121,1.0379,0.9241,0.76801406,0.7661,0.45948057,0.5788,0.093731693,0.0941,E1,9.9188,51,82.79194358,49.53202218,10.10427992,10.69247001,54.97801855
E14_23-02-12,F91,65.9,,,,,,#DIV/0!,,,,,,,0.8154,,0.5735,,0.0997,2 E3,8.1803,53,,,,,
E13_23-02-08,F92,38.2,9,23.5805,4.5577,27.7952,,0.924742743,,0.5435,0.6433,1.1887,1.0384,0.769314472,,,0.5867,0.067153739,0.1017,B2,9.3196,50.8,83.19226921,,7.261883269,10.07804611,54.93419698
E16_23-02-11,F93,51.8,11,22.4759,4.3118,26.6266,,0.962637414,,0.5406,0.6241,1.1747,1.0459,0.80964589,0.832,0.466912354,0.5908,0.080435828,0.0907,A10,8.328,53.1,84.10704577,48.50344971,8.355776168,8.651232419,55.16095598
E4D_23-02-04,F94,52,108,29,4.5448,33.3805,,0.963848794,,0.5568,0.4453,1.0104,0.9225,0.821244105,0.773,0.485515383,0.5947,0.085111161,0.1052,2 E4,6.792,53.9,85.20466177,50.37256734,8.830343673,7.046748453,55.92163452
E2B_23-02-04,F95,64.5,129,28.6303,4.7954,33.1463,,0.94173583,,0.5354,0.7847,1.3235,1.1286,0.755957691,0.8755,0.433414044,0.5919,0.072002039,0.1022,A7,7.8853,51.3,80.27279696,46.02288983,7.645672671,8.37315492,54.47387511
E15_23-02-14,F96,57.1,118,29.4184,6.4425,35.5241,,0.947722158,,0.5416,0.5916,1.1382,0.9954,0.767072346,0.802,0.440162272,0.5841,0.07183908,0.103,A3,9.289,51.5,80.93852614,46.44423139,7.580183695,9.801395827,54.34082087
E15_23-02-05,,60.3,,,,,,,,,,,,,,,,,,,,,,,,,
E2B_23-02-17,,94.1,,,,,,,,,,,,,,,,,,,,,,,,,
E2B_23-02-19,,108,,,,,,,,,,,,,,,,,,,,,,,,,
