Sample,ID,Total_dried,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
E2B_22-03-05,83,50.04,,29.6418,5.2012,34.5042,29.947,0.934861186,0.058678766,0.499,0.5976,1.0951,0.9335,0.727074967,0.7546,0.427710843,0.5525,0.089524766,0.1028,"2,D3",8.246,48.35,77.77357511,45.75126766,9.576262988,8.820560875,51.71890836
E14_22-02-13,84,57.82,,28.7502,5.1156,33.5892,29.0201,0.945930096,0.052760185,0.4901,0.5641,1.0546,0.9197,0.761567098,0.7288,0.423151923,0.5271,0.065591207,0.0935,"2,D4",6.12,48.47,80.50987077,44.73395287,6.934043805,6.469822691,51.24057285
E1A_22-03-11,85,63.22,,29.217,4.7419,33.7004,29.4689,0.945485987,0.053122166,0.4893,0.5839,1.0726,0.9591,0.804589827,0.7581,0.4603528,0.5318,0.072786436,0.0974,"2,D5",4.071,48.2,85.09801715,48.68954238,7.698309342,4.305722197,50.97907392
E4D_22-02-25,86,46.96,,29.2411,6.2018,35.0407,29.6588,0.93514786,0.067351414,0.4897,0.5026,0.9921,0.8651,0.746916037,0.7025,0.423398329,0.5327,0.085555113,0.0933,"2,D6",7.489,48.12,79.87143727,45.27608378,9.148832719,8.008359232,51.45710325
E1A_22-02-25,87,39.53,,28.6157,6.6952,34.8996,29.0707,0.938567929,0.067959135,0.5022,0.5742,1.0762,0.9251,0.736502961,0.7404,0.414838036,0.544,0.072796935,0.0942,"2,D7",9.891,47.25,78.47092764,44.19904224,7.756171141,10.53839546,50.34265345
E15_22-02-23,88,46.27,,29.2828,5.7202,34.6608,29.6619,0.940176917,0.066273907,0.5135,0.5446,1.0583,0.9199,0.746235769,0.7445,0.424164524,0.5538,0.073999266,0.1043,"2,D8",9.493,47.56,79.37184544,45.11539443,7.870780934,10.09703581,50.58622388
E16_22-03-12,89,50.94,,30.1527,5.4028,35.235,30.5022,0.940678907,0.06468868,0.5044,0.7686,1.2734,1.0909,0.763075722,0.8429,0.440411137,0.5636,0.077023159,0.0962,"2,D9",7.837,47.79,81.11968029,46.8184344,8.18803934,8.33121689,50.80373296
E13_22-02-13,90,108.58,,28.7508,5.5498,34.0165,29.052,0.948808966,0.054272226,0.5112,0.6209,1.133,1.0469,0.862779836,0.8168,0.492188758,0.5606,0.079561926,0.0948,"2,D10",4.008,48,90.93293451,51.87437892,8.385452613,4.224243386,50.58974116
E13_22-02-18,91,49.94,,28.9189,5.7211,34.2845,29.2164,0.9378616,0.052000489,0.4916,0.5884,1.0793,0.9821,0.833616587,0.7838,0.496600952,0.5453,0.091264446,0.0913,"2,E1",5.861,48.36,88.88481918,52.95034488,9.731120877,6.249322928,51.56411138
E15_22-02-27,92,46.93,,29.0678,5.4965,34.2451,29.418,0.941926681,0.063713272,0.5065,0.5757,1.0831,0.9658,0.79781136,0.7777,0.471078687,0.5617,0.095883273,0.0984,"2,E2",7.82,48.4,84.69994284,50.01224581,10.17948366,8.302132386,51.38404188
