Date,Time,TimeStamp,Temp_unit,Temp
2022-02-10,11:10:00,PM,C,-12.5
2022-02-11,12:10:00,AM,C,-13
2022-02-11,1:10:00,AM,C,-13
2022-02-11,2:10:00,AM,C,-13
2022-02-11,3:10:00,AM,C,-13
2022-02-11,4:10:00,AM,C,-12.5
2022-02-11,5:10:00,AM,C,-12.5
2022-02-11,6:10:00,AM,C,-12.5
2022-02-11,7:10:00,AM,C,-12
2022-02-11,8:10:00,AM,C,-12
2022-02-11,9:10:00,AM,C,-11.5
2022-02-11,10:10:00,AM,C,-11.5
2022-02-11,11:10:00,AM,C,-11
2022-02-11,12:10:00,PM,C,-10.5
2022-02-11,1:10:00,PM,C,-10.5
2022-02-11,2:10:00,PM,C,-10
2022-02-11,3:10:00,PM,C,-9.5
2022-02-11,4:10:00,PM,C,-9
2022-02-11,5:10:00,PM,C,-9
2022-02-11,6:10:00,PM,C,-8.5
2022-02-11,7:10:00,PM,C,-8
2022-02-11,8:10:00,PM,C,-8
2022-02-11,9:10:00,PM,C,-7.5
2022-02-11,10:10:00,PM,C,-7.5
2022-02-11,11:10:00,PM,C,-7.5
2022-02-12,12:10:00,AM,C,-7.5
2022-02-12,1:10:00,AM,C,-7.5
2022-02-12,2:10:00,AM,C,-7.5
2022-02-12,3:10:00,AM,C,-7.5
2022-02-12,4:10:00,AM,C,-8
2022-02-12,5:10:00,AM,C,-8
2022-02-12,6:10:00,AM,C,-7.5
2022-02-12,7:10:00,AM,C,-7.5
2022-02-12,8:10:00,AM,C,-7.5
2022-02-12,9:10:00,AM,C,-7.5
2022-02-12,10:10:00,AM,C,-7.5
2022-02-12,11:10:00,AM,C,-7.5
2022-02-12,12:10:00,PM,C,-7
2022-02-12,1:10:00,PM,C,-6.5
2022-02-12,2:10:00,PM,C,-6
2022-02-12,3:10:00,PM,C,-5
2022-02-12,4:10:00,PM,C,-4.5
2022-02-12,5:10:00,PM,C,-3
2022-02-12,6:10:00,PM,C,-2.5
2022-02-12,7:10:00,PM,C,-2.5
2022-02-12,8:10:00,PM,C,-3
2022-02-12,9:10:00,PM,C,-3
2022-02-12,10:10:00,PM,C,-3.5
2022-02-12,11:10:00,PM,C,-3.5
2022-02-13,12:10:00,AM,C,-4
2022-02-13,1:10:00,AM,C,-4.5
2022-02-13,2:10:00,AM,C,-5
2022-02-13,3:10:00,AM,C,-5.5
2022-02-13,4:10:00,AM,C,-6
2022-02-13,5:10:00,AM,C,-6.5
2022-02-13,6:10:00,AM,C,-7
2022-02-13,7:10:00,AM,C,-7
2022-02-13,8:10:00,AM,C,-7.5
2022-02-13,9:10:00,AM,C,-8
2022-02-13,10:10:00,AM,C,-8
2022-02-13,11:10:00,AM,C,-8.5
2022-02-13,12:10:00,PM,C,-8
2022-02-13,1:10:00,PM,C,-7.5
2022-02-13,2:10:00,PM,C,-7.5
2022-02-13,3:10:00,PM,C,-7
2022-02-13,4:10:00,PM,C,-6.5
2022-02-13,5:10:00,PM,C,-6
2022-02-13,6:10:00,PM,C,-5.5
2022-02-13,7:10:00,PM,C,-5.5
2022-02-13,8:10:00,PM,C,-6
2022-02-13,9:10:00,PM,C,-7
2022-02-13,10:10:00,PM,C,-7.5
2022-02-13,11:10:00,PM,C,-8.5
2022-02-14,12:10:00,AM,C,-9.5
2022-02-14,1:10:00,AM,C,-10
2022-02-14,2:10:00,AM,C,-10.5
2022-02-14,3:10:00,AM,C,-11.5
2022-02-14,4:10:00,AM,C,-11.5
2022-02-14,5:10:00,AM,C,-11.5
2022-02-14,6:10:00,AM,C,-11.5
2022-02-14,7:10:00,AM,C,-11.5
2022-02-14,8:10:00,AM,C,-11
2022-02-14,9:10:00,AM,C,-11
2022-02-14,10:10:00,AM,C,-11
2022-02-14,11:10:00,AM,C,-10.5
2022-02-14,12:10:00,PM,C,-10.5
2022-02-14,1:10:00,PM,C,-10
2022-02-14,2:10:00,PM,C,-10
2022-02-14,3:10:00,PM,C,-9.5
2022-02-14,4:10:00,PM,C,-9.5
2022-02-14,5:10:00,PM,C,-9
2022-02-14,6:10:00,PM,C,-9
2022-02-14,7:10:00,PM,C,-8.5
2022-02-14,8:10:00,PM,C,-8.5
2022-02-14,9:10:00,PM,C,-8.5
2022-02-14,10:10:00,PM,C,-8.5
2022-02-14,11:10:00,PM,C,-8.5
2022-02-15,12:10:00,AM,C,-8.5
2022-02-15,1:10:00,AM,C,-8.5
2022-02-15,2:10:00,AM,C,-8.5
2022-02-15,3:10:00,AM,C,-8.5
2022-02-15,4:10:00,AM,C,-9
2022-02-15,5:10:00,AM,C,-9
2022-02-15,6:10:00,AM,C,-9.5
2022-02-15,7:10:00,AM,C,-9.5
2022-02-15,8:10:00,AM,C,-10
2022-02-15,9:10:00,AM,C,-10
2022-02-15,10:10:00,AM,C,-10.5
2022-02-15,11:10:00,AM,C,-10.5
2022-02-15,12:10:00,PM,C,-10
2022-02-15,1:10:00,PM,C,-9.5
2022-02-15,2:10:00,PM,C,-9.5
2022-02-15,3:10:00,PM,C,-9
2022-02-15,4:10:00,PM,C,-8
2022-02-15,5:10:00,PM,C,-7.5
2022-02-15,6:10:00,PM,C,-6.5
2022-02-15,7:10:00,PM,C,-6.5
2022-02-15,8:10:00,PM,C,-6.5
2022-02-15,9:10:00,PM,C,-6.5
2022-02-15,10:10:00,PM,C,-7
2022-02-15,11:10:00,PM,C,-7
2022-02-16,12:10:00,AM,C,-7.5
2022-02-16,1:10:00,AM,C,-7.5
2022-02-16,2:10:00,AM,C,-8
2022-02-16,3:10:00,AM,C,-8
2022-02-16,4:10:00,AM,C,-8.5
2022-02-16,5:10:00,AM,C,-8.5
2022-02-16,6:10:00,AM,C,-9
2022-02-16,7:10:00,AM,C,-9
2022-02-16,8:10:00,AM,C,-9
2022-02-16,9:10:00,AM,C,-9
2022-02-16,10:10:00,AM,C,-8.5
2022-02-16,11:10:00,AM,C,-8
2022-02-16,12:10:00,PM,C,-8
2022-02-16,1:10:00,PM,C,-8
2022-02-16,2:10:00,PM,C,-7.5
2022-02-16,3:10:00,PM,C,-6.5
2022-02-16,4:10:00,PM,C,-5.5
2022-02-16,5:10:00,PM,C,-4.5
2022-02-16,6:10:00,PM,C,-3.5
2022-02-16,7:10:00,PM,C,-3.5
2022-02-16,8:10:00,PM,C,-3.5
2022-02-16,9:10:00,PM,C,-3.5
2022-02-16,10:10:00,PM,C,-4
2022-02-16,11:10:00,PM,C,-4
2022-02-17,12:10:00,AM,C,-4.5
2022-02-17,1:10:00,AM,C,-5
2022-02-17,2:10:00,AM,C,-5.5
2022-02-17,3:10:00,AM,C,-6
2022-02-17,4:10:00,AM,C,-6.5
2022-02-17,5:10:00,AM,C,-7
2022-02-17,6:10:00,AM,C,-7
2022-02-17,7:10:00,AM,C,-7
2022-02-17,8:10:00,AM,C,-6.5
2022-02-17,9:10:00,AM,C,-6.5
2022-02-17,10:10:00,AM,C,-6.5
2022-02-17,11:10:00,AM,C,-6.5
2022-02-17,12:10:00,PM,C,-6.5
2022-02-17,1:10:00,PM,C,-6
2022-02-17,2:10:00,PM,C,-6
